PolicyNo,ClaimNo,Insured Country,Insured Name,Broker,Risk Country,Underwriter,Brokerage,Exposure,Gross Premium,Outstanding,Paid,Rate Change,Unique Market Reference,Underwriting Year,Inception Date,Expiry Date,OurShare,Distribution Channel,Class,Division,New Renewal
PL101985,CLM501985,India,Heidi Marks,Marsh,USA,Lauren Weber,0.01333,161647.92,895544.06,525705.14,694132.16,-0.1012,UMR_NIILJ,2022,2014-07-21 00:00:00,2025-07-06 00:00:00,0.6247,Delegated Authority,Construction,Energy and Construction,New
PL101986,CLM501986,Germany,Laura Smith,Gallagher,France,Daniel Powell,0.09969,885603.12,903391.42,267627.66,775173.78,-0.059,UMR_JxNzq,2021,2008-09-18 00:00:00,2025-11-01 00:00:00,0.4717,Broker,Energy,Specialty,New
PL101987,CLM501987,Germany,Justin Vaughn,Aon,France,Lauren Weber,0.01521,1832725.8,813355.28,313828.52,87226.47,-0.3127,UMR_vCNSY,1996,2016-01-18 00:00:00,2025-02-21 00:00:00,0.5413,Delegated Authority,Marine,Specialty,New
PL101988,CLM501988,Germany,Olivia Medina,Aon,Germany,Daniel Powell,0.11748,969171.35,214279.43,698362.12,860073.7,0.2608,UMR_xLWGn,1990,2013-02-05 00:00:00,2025-03-04 00:00:00,0.4803,Open Market,Construction,Energy and Construction,Renewal
PL101989,CLM501989,India,Wendy Clay,Gallagher,USA,Lauren Weber,0.03903,1627764.9,1151135.83,303628.19,109774.39,-0.0444,UMR_BdDDR,2001,2002-04-10 00:00:00,2025-09-02 00:00:00,0.1009,Broker,Construction,Energy and Construction,Renewal
PL101990,CLM501990,India,Jonathan Shaw,Gallagher,India,Lauren Weber,0.06248,532759.86,741863.21,136460.71,932093.56,-0.1264,UMR_WjTvM,1996,2002-06-12 00:00:00,2023-10-03 00:00:00,0.473,Broker,Marine,Specialty,Renewal
PL101991,CLM501991,Germany,Dominique Olson,Gallagher,France,Lauren Weber,0.07854,121558.95,546844.48,243239.92,958665.26,-0.0435,UMR_zUNRA,1986,2012-04-18 00:00:00,2024-08-30 00:00:00,0.6093,Broker,Energy,Specialty,New
PL101992,CLM501992,UK,Kara Collins,Aon,USA,Lauren Weber,0.08644,672483.02,1081297.54,437667.78,171989.88,-0.175,UMR_zxExe,2023,2007-03-30 00:00:00,2025-04-16 00:00:00,0.4063,Open Market,Marine,Energy and Construction,Renewal
PL101993,CLM501993,UK,Charles Potter,Marsh,Germany,Lauren Weber,0.07746,1151161.51,416078.21,662780.83,40657.7,0.1235,UMR_JFstN,2000,2016-08-30 00:00:00,2025-04-01 00:00:00,0.7832,Open Market,Marine,Specialty,Renewal
PL101994,CLM501994,India,Amy Watkins,Willis,India,Lauren Weber,0.01703,617523.45,181217.16,296438.69,648360.36,-0.4026,UMR_YjZNF,2024,2008-11-14 00:00:00,2025-04-22 00:00:00,0.9273,Delegated Authority,Marine,Specialty,Renewal
PL101995,CLM501995,Germany,Micheal Madden,Marsh,France,Lauren Weber,0.05205,565491.31,1179597.04,105172.33,310266.1,0.4787,UMR_xmZmI,2015,2020-02-11 00:00:00,2023-07-31 00:00:00,0.9661,Open Market,Construction,Specialty,Renewal
PL101996,CLM501996,UK,Christopher Davis,Aon,India,Daniel Powell,0.03175,1796496.07,952767.51,92619.83,251357.2,0.4519,UMR_bgXNT,2018,2002-11-24 00:00:00,2024-12-08 00:00:00,0.575,Open Market,Energy,Specialty,Renewal
PL101997,CLM501997,USA,Eugene Lucero,Gallagher,USA,Daniel Powell,0.0493,1206179.4,1313283.18,466745.47,548418.89,-0.3049,UMR_hwWwj,2013,2017-11-16 00:00:00,2025-01-02 00:00:00,0.4162,Open Market,Marine,Specialty,New
PL101998,CLM501998,UK,Daniel Pineda,Gallagher,France,Daniel Powell,0.01986,1746760.64,577857.98,410325.93,399217.53,-0.303,UMR_YxVnW,2006,2010-11-25 00:00:00,2025-09-28 00:00:00,0.3628,Broker,Construction,Energy and Construction,Renewal
PL101999,CLM501999,USA,Luis Martinez,Marsh,USA,Lauren Weber,0.06444,1778295.34,372148.8,648364.45,600211.39,0.2198,UMR_DLoBD,1993,2011-08-28 00:00:00,2025-03-31 00:00:00,0.4889,Delegated Authority,Construction,Energy and Construction,New
PL102000,CLM502000,UK,Diane Harrison,Marsh,India,Lauren Weber,0.02077,1843177.01,1497631.32,115697.93,86388.66,0.0282,UMR_rpCcH,2024,2005-09-01 00:00:00,2023-10-03 00:00:00,0.7427,Delegated Authority,Energy,Energy and Construction,New
PL102001,CLM502001,India,Nancy Scott,Gallagher,USA,Lauren Weber,0.10764,1040474.46,173817.02,557733.04,670046.72,0.1836,UMR_ZMsiY,2000,2004-08-27 00:00:00,2024-09-27 00:00:00,0.882,Open Market,Marine,Energy and Construction,New
PL102002,CLM502002,Germany,Hannah Scott,Marsh,France,Daniel Powell,0.11933,1408095.43,1357788.18,390606.87,984162.84,0.1337,UMR_XChbg,1985,2004-12-29 00:00:00,2024-02-03 00:00:00,0.9162,Broker,Energy,Energy and Construction,Renewal
PL102003,CLM502003,USA,Ruth Bennett,Marsh,India,Lauren Weber,0.11874,1291391.43,889766.56,639603.28,665809.71,-0.2472,UMR_rlSqb,2000,2007-08-12 00:00:00,2023-10-25 00:00:00,0.2913,Open Market,Marine,Specialty,New
PL102004,CLM502004,UK,Cassandra Diaz,Willis,France,Daniel Powell,0.10104,826474.33,1044111.61,623925.13,859951.33,0.3991,UMR_HediE,1997,2011-12-22 00:00:00,2025-11-10 00:00:00,0.156,Broker,Marine,Energy and Construction,New
PL102005,CLM502005,USA,Christopher Robinson,Aon,India,Lauren Weber,0.0756,388479.22,506782.63,44947.3,580296.3,-0.3075,UMR_ltMPK,2011,2004-09-10 00:00:00,2023-12-26 00:00:00,0.4404,Delegated Authority,Marine,Energy and Construction,New
PL102006,CLM502006,UK,Aaron Moran,Aon,India,Daniel Powell,0.05459,596639.29,773528.03,787616.39,698613.73,0.2607,UMR_JVGFL,1992,2010-05-23 00:00:00,2025-04-23 00:00:00,0.8289,Broker,Construction,Specialty,Renewal
PL102007,CLM502007,UK,Scott Bell,Gallagher,USA,Daniel Powell,0.06732,573420.37,547600.94,877836.75,264318.87,-0.4773,UMR_glmrb,2016,2006-07-27 00:00:00,2024-01-10 00:00:00,0.7292,Delegated Authority,Construction,Energy and Construction,Renewal
PL102008,CLM502008,India,Karen Wagner,Willis,Germany,Lauren Weber,0.0513,660627.51,155635.78,400963.01,640631.67,0.2606,UMR_QIkvg,2012,2015-10-20 00:00:00,2024-03-02 00:00:00,0.1413,Broker,Construction,Energy and Construction,New
PL102009,CLM502009,India,Kathleen Perry,Aon,Germany,Daniel Powell,0.11223,126027.49,479114.42,389304.22,879878.59,-0.2977,UMR_fcTMw,1991,2003-08-17 00:00:00,2025-06-15 00:00:00,0.9491,Broker,Construction,Specialty,New
PL102010,CLM502010,India,Sandra Reyes,Gallagher,USA,Lauren Weber,0.08749,1962416.51,1170236.93,63093.59,68496.75,0.249,UMR_rpkdX,2023,2006-03-21 00:00:00,2024-10-02 00:00:00,0.9157,Broker,Construction,Specialty,Renewal
PL102011,CLM502011,USA,Kevin Sparks,Gallagher,France,Lauren Weber,0.05745,569173.94,1217480.12,183290.19,293772.56,-0.2679,UMR_weZWj,2009,2014-05-06 00:00:00,2024-04-11 00:00:00,0.7937,Open Market,Energy,Energy and Construction,New
PL102012,CLM502012,India,Kimberly Smith,Gallagher,India,Daniel Powell,0.07099,1393842.5,317734.9,484933.3,557958.04,-0.1497,UMR_vnLin,1987,2006-02-16 00:00:00,2023-03-24 00:00:00,0.5223,Open Market,Marine,Energy and Construction,Renewal
PL102013,CLM502013,USA,Billy Brown,Marsh,India,Lauren Weber,0.11738,239123.08,1090407.29,674246.7,798652.7,0.1247,UMR_qgbaA,2003,2019-09-28 00:00:00,2023-10-26 00:00:00,0.4837,Open Market,Marine,Energy and Construction,Renewal
PL102014,CLM502014,India,Dana Mitchell,Gallagher,USA,Daniel Powell,0.10708,1366629.83,787343.67,721727.11,464349.16,-0.2727,UMR_xAAdQ,1990,2000-02-07 00:00:00,2023-08-12 00:00:00,0.7468,Open Market,Energy,Energy and Construction,Renewal
PL102015,CLM502015,UK,Michelle Miller MD,Willis,India,Lauren Weber,0.07424,1790033.69,1200910.53,880471.43,684769.42,0.047,UMR_rODKM,2007,2011-08-14 00:00:00,2024-11-20 00:00:00,0.1093,Broker,Marine,Specialty,New
PL102016,CLM502016,USA,Chloe Calderon,Gallagher,India,Daniel Powell,0.0257,1174138.81,1234373.06,51526.44,774665.88,0.2175,UMR_aHgfx,2006,2010-02-19 00:00:00,2023-01-12 00:00:00,0.9082,Open Market,Construction,Energy and Construction,New
PL102017,CLM502017,India,Sarah Snyder,Willis,France,Daniel Powell,0.08115,341574.06,898304.28,213928.81,343914.61,-0.0164,UMR_iTfyv,1992,2002-10-15 00:00:00,2024-08-14 00:00:00,0.7164,Delegated Authority,Marine,Energy and Construction,Renewal
PL102018,CLM502018,Germany,Hannah Ball,Aon,USA,Daniel Powell,0.02215,974681.22,57600.62,670404.87,166077.03,0.1952,UMR_qNAkV,1997,2014-02-03 00:00:00,2023-02-08 00:00:00,0.7242,Broker,Energy,Energy and Construction,Renewal
PL102019,CLM502019,Germany,Stephanie Brown,Aon,USA,Daniel Powell,0.08908,818556.24,744017.85,269726.41,638172.31,0.4378,UMR_AQVoT,2008,2017-02-26 00:00:00,2025-08-24 00:00:00,0.4982,Delegated Authority,Construction,Energy and Construction,Renewal
PL102020,CLM502020,Germany,Susan Kelley,Gallagher,Germany,Daniel Powell,0.10565,1147920.32,482562.41,200593.47,280517.83,0.4248,UMR_CAmqy,1999,2009-01-14 00:00:00,2023-04-01 00:00:00,0.5641,Broker,Construction,Specialty,New
PL102021,CLM502021,India,Chad Carter,Aon,USA,Lauren Weber,0.08412,1021812.2,1103983.6,144276.89,220147.93,0.0698,UMR_BitzF,2014,2005-12-19 00:00:00,2024-11-28 00:00:00,0.4532,Open Market,Construction,Energy and Construction,New
PL102022,CLM502022,USA,Valerie Salazar,Marsh,France,Lauren Weber,0.07852,1759074.59,309830.17,685323.72,14401.33,-0.4728,UMR_dlshp,1986,2000-02-09 00:00:00,2023-10-10 00:00:00,0.5605,Delegated Authority,Marine,Energy and Construction,New
PL102023,CLM502023,Germany,Daniel Willis,Gallagher,France,Lauren Weber,0.10339,1405644.59,465403.84,924234.73,608792.54,0.401,UMR_hUzpv,1986,2014-06-01 00:00:00,2024-03-17 00:00:00,0.7721,Delegated Authority,Marine,Specialty,Renewal
PL102024,CLM502024,Germany,Steven Gentry,Willis,France,Daniel Powell,0.09378,530764.52,1254015.39,734540.59,424249.34,0.4276,UMR_CpsQU,2008,2001-11-06 00:00:00,2024-07-20 00:00:00,0.723,Delegated Authority,Construction,Specialty,Renewal
PL102025,CLM502025,India,Sean Jimenez,Marsh,Germany,Lauren Weber,0.04213,1166331.08,1177893.89,191574,109889.58,-0.3127,UMR_xpSmm,2017,2011-12-30 00:00:00,2024-05-06 00:00:00,0.2377,Delegated Authority,Construction,Specialty,Renewal
PL102026,CLM502026,Germany,Matthew Daniel,Gallagher,India,Lauren Weber,0.0222,1988077.31,1238850.27,795613.26,204964.95,0.4307,UMR_QmgeS,2008,2010-12-31 00:00:00,2025-08-01 00:00:00,0.5124,Broker,Energy,Specialty,New
PL102027,CLM502027,USA,Jeffrey Little,Aon,Germany,Lauren Weber,0.07985,1444511.52,901646.57,260793.29,250368.55,0.0053,UMR_ZDCcp,2022,2000-12-14 00:00:00,2025-12-20 00:00:00,0.1952,Broker,Energy,Specialty,New
PL102028,CLM502028,UK,Christopher Brooks,Willis,France,Daniel Powell,0.11883,1036752.66,406681.08,40350.21,195826.42,0.4928,UMR_kYGij,1988,2009-04-02 00:00:00,2025-08-16 00:00:00,0.5289,Open Market,Construction,Specialty,New
PL102029,CLM502029,USA,Laura Gomez,Gallagher,India,Daniel Powell,0.02547,554758.09,1417021.64,102358.17,294531.98,-0.0849,UMR_jnjKB,2015,2017-02-27 00:00:00,2025-11-19 00:00:00,0.6377,Open Market,Marine,Energy and Construction,Renewal
PL102030,CLM502030,India,Dennis Robinson,Aon,India,Daniel Powell,0.07682,1695566.5,231719.03,956892.45,205832.86,0.1122,UMR_TjukF,2017,2001-11-11 00:00:00,2025-03-23 00:00:00,0.8147,Delegated Authority,Construction,Specialty,Renewal
PL102031,CLM502031,Germany,Brent Brown,Aon,USA,Lauren Weber,0.05579,393642.87,1482101.6,68584.33,389849.02,0.0073,UMR_WyRwb,2012,2006-05-09 00:00:00,2025-05-11 00:00:00,0.5666,Delegated Authority,Construction,Energy and Construction,Renewal
PL102032,CLM502032,India,Mary Jones,Marsh,India,Daniel Powell,0.02781,231638.4,771855.53,33398,908354.43,-0.2632,UMR_RstsY,2002,2008-02-07 00:00:00,2023-04-09 00:00:00,0.7256,Open Market,Energy,Specialty,New
PL102033,CLM502033,India,Monique Caldwell,Aon,France,Lauren Weber,0.10743,752357.92,982285.06,810080.32,449320.81,0.3077,UMR_rjOWQ,1997,2000-11-14 00:00:00,2023-05-12 00:00:00,0.1094,Delegated Authority,Energy,Energy and Construction,New
PL102034,CLM502034,Germany,Mary Davidson,Gallagher,France,Daniel Powell,0.07687,797957.18,1432184.08,254893,138969.91,0.3775,UMR_REVBY,2009,2006-08-05 00:00:00,2023-03-16 00:00:00,0.2364,Open Market,Construction,Energy and Construction,Renewal
PL102035,CLM502035,Germany,Samuel Garcia,Aon,Germany,Daniel Powell,0.05556,199749.12,98104.43,550381.02,612164.76,-0.2765,UMR_IRTTA,2004,2004-05-15 00:00:00,2024-01-25 00:00:00,0.6041,Open Market,Marine,Specialty,New
PL102036,CLM502036,India,Anna Sharp,Gallagher,Germany,Lauren Weber,0.07822,1351624.67,1041211.05,128170.27,856916.79,0.3314,UMR_SeuTo,2017,2000-05-01 00:00:00,2023-07-21 00:00:00,0.4413,Open Market,Construction,Energy and Construction,Renewal
PL102037,CLM502037,India,Robert Davila,Gallagher,India,Lauren Weber,0.01378,482956.22,503627.61,149396.94,4566.66,0.4408,UMR_xYgkW,2015,2009-09-06 00:00:00,2023-04-23 00:00:00,0.2148,Broker,Construction,Specialty,Renewal
PL102038,CLM502038,India,Brenda Anderson,Aon,Germany,Daniel Powell,0.01725,168393.9,901979.77,586440.61,373570.49,0.3957,UMR_eSCcV,1987,2003-04-07 00:00:00,2025-09-09 00:00:00,0.4043,Open Market,Marine,Specialty,Renewal
PL102039,CLM502039,USA,Christopher Powers,Willis,India,Lauren Weber,0.06358,1790392.65,1423728.3,443420.52,668678.54,-0.3893,UMR_OqfWz,2014,2009-12-04 00:00:00,2024-01-09 00:00:00,0.211,Open Market,Marine,Energy and Construction,New
PL102040,CLM502040,USA,Johnny Kelly,Willis,Germany,Lauren Weber,0.01197,109622.8,426238.96,748470.06,657578.25,0.0452,UMR_IUveZ,2024,2013-04-11 00:00:00,2025-12-09 00:00:00,0.9987,Delegated Authority,Energy,Energy and Construction,Renewal
PL102041,CLM502041,UK,Lance Eaton,Marsh,India,Lauren Weber,0.01976,665172.63,1125409.95,881987.73,473086.83,0.331,UMR_tDswY,2022,2011-04-26 00:00:00,2024-10-05 00:00:00,0.6995,Delegated Authority,Energy,Specialty,New
PL102042,CLM502042,USA,Alex Harris,Aon,USA,Daniel Powell,0.05477,1351804.71,152632.3,605016.41,195177.49,0.028,UMR_HNeaF,2003,2011-08-08 00:00:00,2023-06-06 00:00:00,0.2401,Broker,Construction,Specialty,Renewal
PL102043,CLM502043,India,David Gonzales,Gallagher,India,Daniel Powell,0.03838,1033802.45,1356746.64,30019.81,457718.32,0.2219,UMR_GFLwi,2021,2021-03-16 00:00:00,2023-06-17 00:00:00,0.705,Delegated Authority,Marine,Specialty,New
PL102044,CLM502044,Germany,Megan Rogers,Willis,Germany,Lauren Weber,0.10668,850349.9,809251.8,251135.98,737461.08,0.1963,UMR_cheNw,2008,2001-04-17 00:00:00,2024-01-14 00:00:00,0.9924,Broker,Energy,Energy and Construction,New
PL102045,CLM502045,India,Devin Juarez,Marsh,Germany,Daniel Powell,0.03393,1981217.14,667296.16,750457.06,223790.81,0.0614,UMR_NUnYX,1997,2013-09-04 00:00:00,2023-09-19 00:00:00,0.7744,Delegated Authority,Construction,Specialty,New
PL102046,CLM502046,USA,Barbara Miller,Gallagher,USA,Daniel Powell,0.04406,830866.09,54599.81,581680.67,41803.78,-0.4564,UMR_ltOye,2009,2021-04-26 00:00:00,2025-09-14 00:00:00,0.5086,Broker,Marine,Energy and Construction,New
PL102047,CLM502047,India,Frank White,Marsh,Germany,Daniel Powell,0.02202,102954.4,1101762.46,479085.66,10680.24,0.0119,UMR_TKDYB,2011,2009-08-24 00:00:00,2023-01-01 00:00:00,0.4157,Delegated Authority,Marine,Energy and Construction,Renewal
PL102048,CLM502048,UK,Tina Terrell,Willis,India,Lauren Weber,0.04718,1661402.93,1095857.27,198639.38,68540.27,0.317,UMR_EFNiY,2006,2015-02-05 00:00:00,2024-11-20 00:00:00,0.4622,Broker,Construction,Energy and Construction,Renewal
PL102049,CLM502049,Germany,Mary Patterson,Aon,India,Lauren Weber,0.08969,161643.05,1118157.66,176763.21,289044.51,0.1198,UMR_qbmGV,2001,2019-02-03 00:00:00,2023-05-14 00:00:00,0.4347,Broker,Marine,Energy and Construction,Renewal
PL102050,CLM502050,Germany,Todd Richardson,Willis,Germany,Daniel Powell,0.04748,736748.07,303291.29,37766.98,605536.89,0.4697,UMR_UbYJo,1999,2003-03-21 00:00:00,2024-04-09 00:00:00,0.8283,Delegated Authority,Energy,Specialty,New
PL102051,CLM502051,UK,Christina Rhodes,Marsh,USA,Daniel Powell,0.05269,1413802.9,644371.95,434660.85,852924.16,0.372,UMR_DYjRM,1995,2004-03-08 00:00:00,2024-02-26 00:00:00,0.4851,Delegated Authority,Energy,Energy and Construction,Renewal
PL102052,CLM502052,UK,Sherri Moore,Aon,USA,Daniel Powell,0.08759,1377683.98,814218.18,677891.83,377689.14,-0.4799,UMR_czszP,1990,2000-02-05 00:00:00,2023-03-11 00:00:00,0.3299,Broker,Marine,Specialty,Renewal
PL102053,CLM502053,UK,Melissa Griffin,Gallagher,USA,Lauren Weber,0.03853,1472001.87,100484.73,722007.41,585618.09,0.1305,UMR_Rqjwv,2001,2015-04-11 00:00:00,2025-04-23 00:00:00,0.7893,Open Market,Marine,Specialty,Renewal
PL102054,CLM502054,USA,Teresa Perez,Willis,India,Daniel Powell,0.0747,1036148.04,182528.12,84961.08,507594.22,0.2333,UMR_IjwcL,2012,2019-04-23 00:00:00,2024-01-29 00:00:00,0.4089,Open Market,Construction,Energy and Construction,Renewal
PL102055,CLM502055,USA,Matthew Hodges,Gallagher,India,Daniel Powell,0.06721,1238043.58,1459882.11,375721.01,894957.62,0.2819,UMR_jmJqh,2021,2021-03-16 00:00:00,2023-05-15 00:00:00,0.6376,Open Market,Construction,Energy and Construction,Renewal
PL102056,CLM502056,UK,Casey Underwood,Gallagher,USA,Daniel Powell,0.03586,1945681.04,1322774.25,595455.46,673824.86,-0.4796,UMR_CgiYO,1999,2015-08-31 00:00:00,2023-08-30 00:00:00,0.8972,Open Market,Marine,Specialty,New
PL102057,CLM502057,UK,Karen Wagner,Willis,India,Daniel Powell,0.09398,468744.16,357404.88,564506.35,962331.83,0.1748,UMR_LAQUH,2019,2002-05-11 00:00:00,2023-03-11 00:00:00,0.3866,Open Market,Marine,Energy and Construction,New
PL102058,CLM502058,USA,Jessica Riley,Gallagher,Germany,Daniel Powell,0.08262,1965784.26,1453605.1,424925.68,290026.19,-0.0424,UMR_jgGrO,2002,2017-05-15 00:00:00,2023-03-03 00:00:00,0.4888,Delegated Authority,Marine,Specialty,Renewal
PL102059,CLM502059,India,Lisa Stevens,Aon,India,Lauren Weber,0.07405,471793.01,963971.83,704023.35,157550.81,0.4883,UMR_tNMTL,2013,2005-05-08 00:00:00,2023-10-25 00:00:00,0.7748,Broker,Marine,Specialty,Renewal
PL102060,CLM502060,UK,Sharon Raymond,Gallagher,India,Daniel Powell,0.09863,1373438,1479944.67,204458.46,621651.96,0.3171,UMR_uRcUx,2001,2006-11-24 00:00:00,2024-03-16 00:00:00,0.9291,Delegated Authority,Marine,Specialty,New
PL102061,CLM502061,India,Dorothy Mcbride,Willis,USA,Daniel Powell,0.11859,1554724.49,1443983.97,322227.99,778829.2,0.3627,UMR_VUgld,2014,2015-06-08 00:00:00,2023-07-20 00:00:00,0.9087,Open Market,Marine,Specialty,New
PL102062,CLM502062,UK,Russell Spence,Marsh,France,Daniel Powell,0.03219,1837307.02,719535.97,831700.86,327446.55,0.1322,UMR_kIUKB,1995,2013-05-16 00:00:00,2023-06-21 00:00:00,0.2352,Open Market,Marine,Specialty,Renewal
PL102063,CLM502063,Germany,Daniel White,Gallagher,India,Daniel Powell,0.11855,270331.33,360664.01,783913.24,681194.69,-0.0249,UMR_bOyTD,1995,2008-07-12 00:00:00,2023-10-09 00:00:00,0.3221,Open Market,Energy,Energy and Construction,New
PL102064,CLM502064,India,Aaron Wolfe,Marsh,France,Lauren Weber,0.10593,308841.27,231632.4,945559.5,312397.93,-0.1192,UMR_WSjKt,2001,2010-01-27 00:00:00,2025-08-22 00:00:00,0.2604,Broker,Construction,Energy and Construction,Renewal
PL102065,CLM502065,UK,Susan Williams,Willis,France,Daniel Powell,0.01899,1403843.46,1108350.6,130224.32,880179.21,0.262,UMR_lhUOP,2003,2020-10-11 00:00:00,2024-08-03 00:00:00,0.1672,Delegated Authority,Energy,Specialty,New
PL102066,CLM502066,UK,Jennifer Brady,Marsh,Germany,Lauren Weber,0.11186,1644057.78,1461247.38,403226.33,868738.68,0.0448,UMR_hPfMF,2008,2006-07-18 00:00:00,2024-02-11 00:00:00,0.9251,Delegated Authority,Energy,Energy and Construction,Renewal
PL102067,CLM502067,India,Mark Wade,Marsh,France,Lauren Weber,0.0417,1949564.33,173030.25,494565.6,121171.57,-0.0322,UMR_OISdo,2024,2006-06-18 00:00:00,2024-09-19 00:00:00,0.4594,Open Market,Energy,Energy and Construction,New
PL102068,CLM502068,UK,Roberto Thompson,Marsh,USA,Daniel Powell,0.1029,1594305.28,1016043.72,568056.8,659365.53,0.1883,UMR_lRvSU,2024,2011-11-14 00:00:00,2023-01-04 00:00:00,0.6126,Delegated Authority,Marine,Specialty,New
PL102069,CLM502069,Germany,Joshua Nguyen,Gallagher,France,Daniel Powell,0.10586,120514.57,1165893,955588.46,97531.92,-0.24,UMR_GVVmZ,2006,2003-02-16 00:00:00,2025-12-23 00:00:00,0.679,Broker,Energy,Energy and Construction,New
PL102070,CLM502070,UK,Victoria Blair,Aon,Germany,Daniel Powell,0.0536,1798186.63,462873.04,56036.02,382064.31,0.2405,UMR_Wncwa,1990,2001-08-28 00:00:00,2024-08-19 00:00:00,0.4203,Delegated Authority,Marine,Energy and Construction,New
PL102071,CLM502071,UK,Ronald Jones,Gallagher,India,Lauren Weber,0.11629,695600.27,1005449.29,425276.97,163878.74,0.0528,UMR_jejOY,1989,2012-02-17 00:00:00,2025-04-12 00:00:00,0.3095,Delegated Authority,Marine,Specialty,New
PL102072,CLM502072,India,Kaitlyn Nash,Marsh,Germany,Lauren Weber,0.09163,483491,640048.96,180589.63,90104.24,0.3184,UMR_nthOu,2006,2005-04-13 00:00:00,2025-08-12 00:00:00,0.7428,Delegated Authority,Construction,Specialty,Renewal
PL102073,CLM502073,UK,Douglas King,Marsh,USA,Lauren Weber,0.03635,750964.28,884988.34,297282.94,733375.26,-0.0119,UMR_mwuXa,2001,2005-02-17 00:00:00,2023-03-16 00:00:00,0.3112,Delegated Authority,Construction,Energy and Construction,Renewal
PL102074,CLM502074,USA,Tracy Norris,Willis,Germany,Lauren Weber,0.10097,1764214.8,560780.1,922008.26,60683.54,0.1509,UMR_lCLhq,2011,2011-05-23 00:00:00,2025-11-03 00:00:00,0.3102,Open Market,Construction,Specialty,Renewal
PL102075,CLM502075,USA,Jonathan Johnson,Aon,Germany,Lauren Weber,0.07128,1653280.21,937172.2,714071.96,426855.95,-0.1695,UMR_CdRQX,2002,2007-07-04 00:00:00,2024-09-01 00:00:00,0.7542,Broker,Energy,Specialty,Renewal
PL102076,CLM502076,Germany,Heather Mcdonald,Gallagher,India,Daniel Powell,0.04162,1212842.43,685359.67,14325.89,100384.41,0.0461,UMR_iuupN,2023,2020-11-15 00:00:00,2023-03-25 00:00:00,0.8432,Delegated Authority,Marine,Energy and Construction,New
PL102077,CLM502077,India,Carla Ortega,Marsh,India,Lauren Weber,0.08787,434768.02,355535.24,819123.31,581621.44,-0.3603,UMR_zJmqI,1987,2003-05-22 00:00:00,2025-09-10 00:00:00,0.954,Broker,Construction,Energy and Construction,New
PL102078,CLM502078,UK,Angela Montgomery,Gallagher,India,Daniel Powell,0.11548,1251777.24,550306.88,583855.52,216376.65,0.284,UMR_qWtpL,2006,2010-10-20 00:00:00,2023-06-22 00:00:00,0.9829,Open Market,Energy,Energy and Construction,Renewal
PL102079,CLM502079,India,Jack Gill,Aon,Germany,Daniel Powell,0.02251,1850412.24,1341991.26,929093.09,494453.12,0.464,UMR_RwpVX,2011,2007-04-15 00:00:00,2025-12-29 00:00:00,0.5561,Delegated Authority,Energy,Energy and Construction,New
PL102080,CLM502080,Germany,Isaac Gray,Willis,India,Lauren Weber,0.01517,1074595.75,399536.19,561875.1,501498.35,-0.2453,UMR_yxnTn,1990,2020-04-21 00:00:00,2024-04-12 00:00:00,0.4767,Broker,Energy,Energy and Construction,Renewal
PL102081,CLM502081,Germany,Eddie Hines,Willis,France,Lauren Weber,0.09681,1926127.12,151796.46,881414.39,351504.65,-0.0315,UMR_LUGjD,2003,2001-11-12 00:00:00,2023-07-29 00:00:00,0.8043,Delegated Authority,Energy,Specialty,New
PL102082,CLM502082,Germany,Erika Cortez,Gallagher,USA,Daniel Powell,0.01639,1996880.15,1163094.96,845552.06,502702.51,-0.3543,UMR_VUwzK,2018,2021-09-02 00:00:00,2023-11-24 00:00:00,0.1934,Broker,Marine,Specialty,Renewal
PL102083,CLM502083,UK,Katie Miller,Gallagher,USA,Lauren Weber,0.05138,1250811.92,976558.95,294519.73,352293.4,-0.4316,UMR_iRvrk,2020,2000-08-09 00:00:00,2023-12-03 00:00:00,0.1435,Delegated Authority,Marine,Specialty,Renewal
PL102084,CLM502084,India,Heather Moses,Gallagher,India,Daniel Powell,0.04612,1773393.87,149931.02,173691.86,157617.03,-0.2724,UMR_PmFIN,2002,2016-04-05 00:00:00,2025-04-26 00:00:00,0.7944,Open Market,Construction,Energy and Construction,New
PL102085,CLM502085,Germany,Anna Mcdonald,Marsh,USA,Lauren Weber,0.05663,1924366.38,808714.61,938054.51,502752.43,0.4366,UMR_luMHw,2020,2013-12-23 00:00:00,2024-10-03 00:00:00,0.9072,Delegated Authority,Energy,Energy and Construction,Renewal
PL102086,CLM502086,USA,Robert Reyes,Marsh,Germany,Daniel Powell,0.04456,1982743.3,159951.31,701800.21,667630.97,-0.1042,UMR_GuEKV,2022,2018-01-12 00:00:00,2024-03-11 00:00:00,0.8693,Broker,Construction,Specialty,Renewal
PL102087,CLM502087,Germany,Emily Jones,Aon,India,Daniel Powell,0.04603,1592178.98,1024560.16,152710.84,252643.47,0.2945,UMR_KVaLY,1991,2020-05-20 00:00:00,2024-09-28 00:00:00,0.1682,Open Market,Energy,Energy and Construction,Renewal
PL102088,CLM502088,USA,Debbie Petty,Marsh,USA,Daniel Powell,0.01886,1884616.69,278615.92,238709.66,807032.42,0.4369,UMR_VUkxp,2011,2000-09-27 00:00:00,2023-10-28 00:00:00,0.9681,Open Market,Marine,Specialty,New
